#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
20000,40.00000000000292,-52629.18421369083,15321.89260308706,-37307.291610603774,287.98251399984446,47.90099346932819,1.3232019545907912,58.4
20500,41.00000000000414,-52692.84019039096,15229.878159669619,-37462.96203072134,286.253057239763,47.718846988967606,1.3282527174244088,58.4
21000,42.000000000005365,-52598.98187603873,15393.319471600658,-37205.66240443807,289.3250171549402,47.80300446238738,1.3259143206223973,58.4
21500,43.00000000000659,-52574.30462906498,15430.202242207211,-37144.10238685777,290.0182469848122,47.91727198632677,1.3227524347283812,58.4
22000,44.00000000000781,-52837.06992802843,15669.90693867814,-37167.16298935029,294.5236147546763,47.65041205442729,1.3301603376075481,58.4
22500,45.00000000000903,-52858.71270996675,15485.19015994663,-37373.52255002012,291.05177196768693,47.86521934451071,1.3241909063292459,58.4
23000,46.00000000001025,-52659.59239153438,15198.372958144015,-37461.21943339037,285.6609014679893,47.379416553400944,1.3377684403103127,58.4
23500,47.000000000011475,-52700.494085640894,15369.089217928571,-37331.40486771232,288.86959760931984,47.628097126737416,1.3307835502391732,58.4
24000,48.0000000000127,-53036.716846520576,15684.239802428569,-37352.47704409201,294.7930079845201,47.57574304167,1.3322479930569033,58.3
24500,49.00000000001392,-53152.68079808102,15531.611362601667,-37621.06943547935,291.92428132340456,47.876204463150614,1.3238870728409604,58.3
25000,50.00000000001514,-52997.767949888366,15409.390724887828,-37588.37722500054,289.627084271886,47.97965006859868,1.3210327314775052,58.3
25500,51.000000000016364,-52942.52299058046,15292.160314152661,-37650.3626764278,287.4236809929761,47.86478672034598,1.3242028749814438,58.3
26000,52.000000000017586,-53174.846731353995,15674.952759462973,-37499.893971891026,294.61845344023897,47.89927443730722,1.3232494422940366,58.3
26500,53.00000000001881,-53287.411910425464,15678.857776182138,-37608.55413424333,294.6918501518025,47.19015492178962,1.3431337169903932,58.3
27000,54.00000000002003,-53163.49876897295,15645.016362807939,-37518.482406165014,294.05578412828487,47.93295057041569,1.3223197702453917,58.3
27500,55.00000000002125,-53052.07649505528,15465.930308143106,-37586.14618691217,290.6897735719714,47.786605909517505,1.3263693241882253,58.3
28000,56.000000000022474,-53253.9321560942,15703.914082724708,-37550.01807336949,295.16279576776554,47.44585821850153,1.3358950720958755,58.3
28500,57.0000000000237,-53214.34274273948,15618.669079133932,-37595.67366360554,293.5605739616258,47.50945919413334,1.3341067076023998,58.2
29000,58.00000000002492,-53163.440828620136,15667.21125382937,-37496.22957479076,294.4729480309359,47.63682478663794,1.3305397341099559,58.2
29500,59.00000000002614,-52787.27973253254,15508.368806786038,-37278.9109257465,291.48742604521146,47.49178359492872,1.3346032384478383,58.2
30000,60.00000000002736,-53031.05964579414,15650.816012506,-37380.24363328814,294.16479139935984,47.88887203138793,1.3235368781271921,58.2
30500,61.000000000028585,-52880.10628074736,15610.763995702877,-37269.34228504448,293.411994027095,48.01726295866564,1.3199979399079258,58.2
31000,62.00000000002981,-52571.0728536702,15190.257081581094,-37380.8157720891,285.50835957277775,47.91882507118179,1.3227095633355566,58.2
31500,63.00000000003103,-53063.052218660356,15638.79012391495,-37424.262094745405,293.9387589032937,48.29957775096173,1.3122824491813228,58.2
32000,64.00000000003224,-52943.487419500394,15539.679364303025,-37403.80805519737,292.07592338702557,48.26506064342555,1.3132209374751815,58.2
32500,65.00000000002991,-52828.33612275104,15426.312420155216,-37402.02370259582,289.945135864498,48.437003053781034,1.3085592458121351,58.2
33000,66.00000000002758,-52922.050106411916,15285.811214971418,-37636.2388914405,287.3043465483866,47.86060020613261,1.3243187070883047,58.2
33500,67.00000000002525,-52998.37613349185,15335.554389377034,-37662.821744114815,288.23929399846696,48.08186255927059,1.3182244782494406,58.2
34000,68.00000000002292,-52838.34635880752,15252.49659729673,-37585.84976151079,286.67818190936754,48.04405556652174,1.3192618199705517,58.2
34500,69.00000000002059,-52862.281503400445,15310.209542001605,-37552.07196139884,287.7629251155101,47.95013165279839,1.321845967898542,58.2
35000,70.00000000001826,-53246.32844480497,15589.861881740815,-37656.466563064154,293.0191285056716,47.482073719952346,1.3348761589328368,58.2
35500,71.00000000001593,-53152.004274423416,15381.381132858765,-37770.62314156465,289.1006302013873,47.39695587228593,1.3372733969718313,58.1
36000,72.0000000000136,-53247.31697778223,15555.010604041365,-37692.30637374087,292.36408158503383,47.24436644554614,1.3415925104744644,58.1
36500,73.00000000001127,-52944.45367790134,15297.727097957075,-37646.72657994427,287.5283114349468,47.505687723801,1.3342126221593502,58.1
37000,74.00000000000894,-53144.65582546666,15758.881954976772,-37385.77387048989,296.19594398583763,47.46297930037241,1.335413181383632,58.1
37500,75.00000000000661,-53241.09363751958,15662.170933098845,-37578.92270442074,294.3782127216015,47.92601209727999,1.3225112086689357,58.1
38000,76.00000000000428,-52999.91539390513,15497.728847354148,-37502.18654655098,291.2874427699446,47.61882327971562,1.3310427226045116,58.1
38500,77.00000000000195,-52961.21295655374,15440.179649041065,-37521.03330751268,290.20577725784347,47.55456436295661,1.3328413168017317,58.1
39000,77.99999999999962,-53249.83589845088,15728.432170890708,-37521.40372756017,295.62362530439157,47.401584966482936,1.3371428029310177,58.1
39500,78.99999999999729,-52944.15919358436,15367.53669199752,-37576.62250158684,288.84041712018217,47.60150909947237,1.331526865104332,58.1
40000,79.99999999999496,-52950.703860116184,15571.72872630867,-37378.975133807515,292.6783069228961,47.35565234828994,1.338439764683014,58.1
40500,80.99999999999262,-53119.56769291749,15748.341714008391,-37371.2259789091,295.997834968181,47.8757785567776,1.323898850235678,58.1
41000,81.9999999999903,-53021.363858237004,15731.469205597215,-37289.89465263979,295.6807078667448,47.50151678313566,1.3343297746643403,58.1
41500,82.99999999998796,-53022.43357928124,15790.288608316607,-37232.14497096463,296.7862474959474,47.735661250025686,1.3277848578126,58.1
42000,83.99999999998563,-52774.011983526136,15361.638187464852,-37412.373796061285,288.72955182382736,47.70120417565141,1.328743986253681,58.1
42500,84.9999999999833,-52972.21246893481,15697.909106380637,-37274.30336255417,295.0499292813024,48.47649067524706,1.3074933292937414,58.1
43000,85.99999999998097,-52927.26152493416,15476.407624361393,-37450.853900572765,290.886699887974,48.18084880919922,1.3155162217348497,58.1
43500,86.99999999997864,-52979.94669569999,15762.485668381749,-37217.46102731824,296.26367755328806,48.17619371314776,1.3156433354376442,58.1
44000,87.99999999997631,-52807.01464674244,15612.116993890253,-37194.89765285219,293.43742429406865,48.18709979962529,1.3153455686069049,58.1
44500,88.99999999997398,-52721.927954642066,15620.683016316925,-37101.24493832514,293.5984269023832,47.95993263080262,1.321575838593814,58.1
45000,89.99999999997165,-52878.66850141927,15486.897258119008,-37391.77124330026,291.0838577181919,47.65117708214251,1.3301389822164273,58.1
45500,90.99999999996932,-53109.23955538797,15633.748642279097,-37475.49091310887,293.84400177417217,47.26410621957627,1.3410321966313492,58.1
46000,91.99999999996699,-53043.48087985224,15508.553985488772,-37534.92689436347,291.4909065700875,47.96795986812865,1.3213546784083503,58.1
46500,92.99999999996466,-53113.95875003609,15553.526440675401,-37560.43230936069,292.3361860039598,47.809956617239465,1.3257215163964624,58.2
47000,93.99999999996233,-53362.80228481049,15920.084496948151,-37442.71778786233,299.2258251175413,47.271362162533826,1.3408263541787975,58.2
47500,94.99999999996,-52939.82058333981,15498.573148039704,-37441.2474353001,291.3033118169545,47.81996877778129,1.3254439474855,58.2
48000,95.99999999995767,-53044.71265931217,15407.487009485056,-37637.225649827116,289.5913030037468,48.06638742588503,1.3186488850069584,58.1
48500,96.99999999995534,-53384.4491625581,15765.578957087973,-37618.87020547013,296.32181743725823,47.87483921557996,1.3239248261502066,58.1
49000,97.999999999953,-53098.89196911459,15379.293057830142,-37719.598911284455,289.0613838033253,47.82539071709105,1.3252936826045654,58.1
49500,98.99999999995067,-53165.362390302034,15502.71293613494,-37662.6494541671,291.3811211721024,47.73711472834245,1.3277444300131584,58.1
50000,99.99999999994834,-53149.262274366156,15442.750562228852,-37706.511712137304,290.2540988367941,47.98671013728342,1.3208383738774045,58.1
50500,100.99999999994601,-53193.23478372008,15416.66992494832,-37776.56485877176,289.7639004203627,47.738904537973895,1.327694650702302,58.1
51000,101.99999999994368,-53097.97410409434,15390.717932442994,-37707.256171651345,289.2761199458094,47.43962067244951,1.3360707207818212,58.1
51500,102.99999999994135,-53229.31858308153,15567.118922901907,-37662.19966017962,292.5916633985931,47.24396573889815,1.3416038893887752,58.1
52000,103.99999999993902,-53399.95578266895,15666.567631263273,-37733.38815140568,294.46085082796935,47.61407644960695,1.3311754193644347,58.1
52500,104.99999999993669,-53515.24948500568,15874.780601682201,-37640.46888332348,298.3743161042197,47.54990551903141,1.3329719059081504,58.1
53000,105.99999999993436,-53284.86816251688,15653.190078997628,-37631.678083519255,294.2094131477543,47.29899407808433,1.3400430478673486,58.1
53500,106.99999999993203,-53011.45253928348,15344.414074742335,-37667.03846454114,288.40581614627484,47.346561152811766,1.338696763654855,58.1
54000,107.9999999999297,-53221.21952792808,15494.870067897036,-37726.349460031044,291.2337106027537,47.21999378392288,1.3422849752054788,58.1
54500,108.99999999992737,-53244.16621447338,15693.742819645944,-37550.423394827434,294.97162187118136,47.2541000390557,1.3413161637417652,58.1
55000,109.99999999992504,-52853.03495333941,15258.669196381743,-37594.36575695767,286.7941989477625,47.651987565618434,1.3301163586970142,58.1
55500,110.99999999992271,-53351.986702311195,15762.523237323325,-37589.46346498787,296.26438368003915,47.45312519442294,1.3356904930026614,58.1
56000,111.99999999992038,-53008.44940657939,15348.530942960027,-37659.91846361937,288.4831947110416,47.67208037753834,1.3295557417150148,58.1
56500,112.99999999991805,-53156.25805356853,15494.26075884503,-37661.99729472349,291.22225833917605,47.145237880649695,1.344413370994371,58.1
57000,113.99999999991572,-53122.24529773578,15508.787128003885,-37613.45816973189,291.4952885984283,47.688081400254404,1.3291096291644404,58.1
57500,114.99999999991338,-53210.948470279975,15481.334868841655,-37729.61360143832,290.9793098735206,47.605557326630645,1.3314136362394688,58.1
58000,115.99999999991105,-53086.3145528973,15334.029143171832,-37752.28540972546,288.2106262452057,47.42478506481449,1.3364886756752181,58.1
58500,116.99999999990872,-53175.34300356008,15639.748555294504,-37535.594448265576,293.9567730928805,47.49943768180209,1.334388179709733,58.1
59000,117.9999999999064,-53528.69830138274,15832.644210274582,-37696.05409110816,297.58234188518605,47.67329868071046,1.3295217645826898,58.1
59500,118.99999999990406,-52852.005896936374,15228.453023613234,-37623.55287332314,286.22627110602997,47.97813604068028,1.321074418808478,58.1
60000,119.99999999990173,-53364.08636794365,15740.054669632078,-37624.03169831158,295.8420758896558,47.797357848131995,1.3260709595464155,58.1
60500,120.9999999998994,-53030.11710335933,15411.826334470967,-37618.29076888836,289.67286275298125,47.90400659865627,1.3231187260907256,58.1
61000,121.99999999989707,-53101.944775075586,15606.95935010831,-37494.98542496728,293.3404838402281,47.3882134236989,1.3375201048148828,58.1
61500,122.99999999989474,-53157.111717282336,15588.980908345244,-37568.130808937094,293.0025701770241,47.6247408362239,1.3308773354467522,58.1
62000,123.99999999989241,-53394.3872993633,15589.503891248934,-37804.883408114365,293.0123998981483,47.504779298322156,1.3342381360709623,58.1
62500,124.99999999989008,-53221.94859574598,15407.246872473388,-37814.70172327259,289.5867895104,47.74401589007454,1.3275525111123372,58.1
63000,125.99999999988775,-53149.04349878704,15275.707686243793,-37873.33581254324,287.1144457522758,47.55293327379444,1.3328870339189958,58.1
63500,126.99999999988542,-53402.383619979315,15475.406100073858,-37926.97751990546,290.8678757459683,47.50309512862089,1.3342854400084627,58.1
64000,127.99999999988309,-53660.90516505883,15573.786418991636,-38087.11874606719,292.7169822698151,47.30738207163412,1.3398054470543308,58.1
64500,128.99999999988785,-53691.15560547235,15665.099402567412,-38026.05620290493,294.4332547468641,47.17712069579296,1.3435048017058822,58.1
65000,129.99999999989262,-53223.68610998156,15277.469436091165,-37946.21667389039,287.14755870791566,47.858747425442985,1.3243699761302121,58.1
65500,130.9999999998974,-52975.98750979515,15205.248510767782,-37770.738999027366,285.7901308641888,47.80719728657798,1.3257980342480917,58.1
66000,131.99999999990217,-53350.38803693733,15460.379676782211,-37890.008360155116,290.58544672312803,48.01036907197704,1.3201874805509746,58.1
66500,132.99999999990695,-53177.22212891326,15243.791000792015,-37933.43112812124,286.5145559375479,47.412394754773096,1.33683794107605,58.1
67000,133.99999999991172,-53458.88997740785,15543.981576302907,-37914.90840110494,292.156785579418,47.66892698801144,1.3296436943377454,58.1
67500,134.9999999999165,-53404.486435716324,15581.604156222107,-37822.88227949422,292.8639204895079,48.06778218019001,1.3186106225549439,58.1
68000,135.99999999992127,-53239.98934549869,15593.093889103937,-37646.89545639475,293.07987567508525,47.53627230007631,1.3333541970928593,58.1
68500,136.99999999992605,-52949.74824969865,15230.224830259618,-37719.52341943903,286.2595730841579,47.75589488222149,1.3272222903952287,58.1
69000,137.99999999993082,-53335.22032256651,15487.43757886632,-37847.78274370018,291.09401331262194,48.21450968552971,1.3145977963658189,58.1
69500,138.9999999999356,-53295.685456223764,15476.983081573033,-37818.70237465073,290.8975158895478,47.71651027202529,1.3283177630576872,58.1
70000,139.99999999994037,-53240.841736718314,15453.43629847639,-37787.40543824193,290.4549425098457,47.83410152882724,1.3250523404784385,58.1
70500,140.99999999994515,-53020.24067797461,15303.302006545706,-37716.9386714289,287.63309458623644,47.92093823521713,1.3226512359659064,58.1
71000,141.99999999994992,-53097.72597879685,15534.118629007322,-37563.60734978953,291.97140662975363,48.120835474121066,1.3171568523481352,58.1
