#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
6650	0.02	-0.012294605117318504	-2897.6128278401256
6700	0.02	-0.019129948723070528	-4508.5778914372095
6750	0.02	-0.026810219960081785	-6318.676893828686
6800	0.02	-0.030261260629632088	-7132.023855204532
6850	0.02	-0.01949449079929454	-4594.493769684185
6900	0.02	-0.027983765017975316	-6595.259930156602
6950	0.02	-0.019803691112162066	-4667.366609794769
7000	0.02	-0.021589099379413182	-5088.154577261184
7050	0.02	-0.035860750900805864	-8451.720964977007
7100	0.02	-0.018138996999966815	-4275.0287536458
7150	0.02	-0.013143966873358991	-3097.7918084820435
7200	0.02	-0.013226266166406757	-3117.188241712865
7250	0.02	0.004954506640490836	1167.6863030665986
7300	0.02	0.004258303936382634	1003.6041005923403
7350	0.02	0.007738658524038312	1823.8598145735662
7400	0.02	0.019787596565669096	4663.573420511234
7450	0.02	0.02663969467374855	6278.487212872259
7500	0.02	0.0367697780716495	8665.961989064996
7550	0.02	0.03697878468299418	8715.221012218382
7600	0.02	0.045394186174894165	10698.576726506886
7650	0.02	0.03947697510960973	9303.998655540321
7700	0.02	0.03889328256217897	9166.433032503952
7750	0.02	0.05071606095068028	11952.84495808714
7800	0.02	0.0563902430199195	13290.145554115878
7850	0.02	0.04932781313044799	11625.66042033734
7900	0.02	0.04341115001880175	10231.21149198869
7950	0.02	0.029904924735759397	7048.042023559453
8000	0.02	0.030891947535500442	7280.665186207567
8050	0.02	0.03233035101661462	7619.67049290223
8100	0.02	0.034345298794399765	8094.556711095109
8150	0.02	0.0229375031132233	5405.948594955336
8200	0.02	0.028398374862682933	6692.975862722934
8250	0.02	0.021010337076762888	4951.750922452665
8300	0.02	0.014500684683756763	3417.545301469801
8350	0.02	0.014477505509200036	3412.082395350132
8400	0.02	0.003492375261564913	823.088766249787
8450	0.02	-0.010985010843382206	-2588.965487708926
8500	0.02	-0.0061026934350413165	-1438.2928620328241
8550	0.02	-0.01688623263905872	-3979.7751812219985
8600	0.02	-0.012972374186881235	-3057.3505608976775
8650	0.02	-0.018630587419771572	-4390.887595217139
8700	0.02	-0.021143269440088396	-4983.080641262788
8750	0.02	-0.01315745228673925	-3100.970072966873
8800	0.02	-0.009534816126943225	-2247.1812032099974
8850	0.02	-0.01599247424333826	-3769.1327272580716
8900	0.02	-0.015430203641644429	-3636.6158637525955
8950	0.02	-0.015674131419152908	-3694.1051649892393
9000	0.02	-0.029862157413182735	-7037.962550381744
9050	0.02	-0.01727480400416798	-4071.35432193681
9100	0.02	-0.02444657141017152	-5761.608302086922
9150	0.02	-0.022025402508240272	-5190.983218836286
9200	0.02	-0.019567423426984722	-4611.682651762673
9250	0.02	-0.01870698485168007	-4408.893068072894
9300	0.02	-0.01176148279370225	-2771.9656786248675
9350	0.02	-0.010352023310830093	-2439.7819412115896
9400	0.02	-0.009269508376840822	-2184.653034742087
9450	0.02	-0.0020046893880044147	-472.4685039565943
9500	0.02	-0.01564795145922869	-3687.9350288209857
9550	0.02	0.00024924472085341453	58.74240722046083
9600	0.02	-0.0010070172182464802	-237.3354802047757
9650	0.02	0.011168023044194458	2632.098105280989
9700	0.02	0.02153358019884916	5075.069725144472
9750	0.02	0.016554337778226614	3901.5536525869193
9800	0.02	0.0040085288927725225	944.7367060292169
9850	0.02	0.021263901351399824	5011.511369238791
9900	0.02	0.012120995633466953	2856.6962581217263
9950	0.02	0.024218555347297655	5707.869100019649
10000	0.02	0.030141874128105612	7103.886647462352
10050	0.02	0.03615723020501648	8521.595696769708
10100	0.02	0.03135841837668418	7390.603804026485
10150	0.02	0.02509433135322948	5914.273434675998
10200	0.02	0.017350255972949237	4089.1369664821304
10250	0.02	0.020657792279543237	4868.6625827244525
10300	0.02	0.005463566118563076	1287.6622811252932
10350	0.02	0.011779862129437414	2776.297350808334
10400	0.02	0.017327307855453	4083.7285162718663
10450	0.02	0.010584913505183221	2494.6698866312618
10500	0.02	0.010484468354807753	2470.996807793431
10550	0.02	-0.0008965626959212326	-211.30337606409424
10600	0.02	0.0012703091037484446	299.388546376217
10650	0.02	0.0036667249900492653	864.179798045112
10700	0.02	0.010734657999096541	2529.961916128855
10750	0.02	0.017104504227155516	4031.217789389332
