#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,136.36070929477142,2300.215532272647,2436.5762415674185,159.68388985413503,21.156805227189057,1.0442498522426371,0
1000,2.0000000000000013,-19.103260289154235,2703.2190869389106,2684.1158266497564,187.66090954262074,19.805356526604523,1.1155058331184757,25.4
1500,2.999999999999891,61.70263708387329,2943.787144998575,3005.4897820824485,204.36145031658387,18.866697925153453,1.1710046357907504,25.5
2000,3.999999999999781,216.9848428192688,3021.948763223989,3238.933606043258,209.78752933414285,17.764256613766523,1.2436766262032781,25.5
2500,4.999999999999671,176.74298148876883,3252.6058222112897,3429.3488037000584,225.80003593825927,16.88940642706696,1.308097524197902,25.5
3000,5.999999999999561,257.93440794657613,3324.4606926296265,3582.395100576203,230.7882924961255,16.55234955316331,1.334734423137907,25.5
3500,6.999999999999451,228.568009980539,3431.575217967901,3660.14322794844,238.22431917532785,15.97198994362273,1.3832334487062257,25.5
4000,7.999999999999341,323.5910518212081,3491.9672606369486,3815.5583124581567,242.41681164150225,15.797275545271782,1.3985317068822656,25.5
4500,8.999999999999675,289.69847903441683,3720.375141390796,4010.073620425213,258.2731774300064,15.394886827243223,1.435086271197658,25.5
5000,10.000000000000009,296.25370700137415,3741.0895526080085,4037.3432596093826,259.7111982210122,15.215320925590978,1.4520226579815179,25.5
5500,11.000000000000343,307.55901428041284,3857.225420225165,4164.784434505578,267.77349796314536,15.18562118372258,1.454862495588908,25.5
6000,12.000000000000677,332.89320370015736,3824.5994933106226,4157.49269701078,265.50856459202623,14.992577920025049,1.4735951915854049,25.5
6500,13.00000000000101,412.5222753649296,3798.4312794667044,4210.953554831634,263.6919338813366,14.95639080885898,1.477160567329672,25.5
7000,14.000000000001345,451.05110177982147,3902.7012704935687,4353.75237227339,270.9304893682543,14.840710060618484,1.4886747764882686,25.5
7500,15.000000000001679,501.7320143309572,3929.077598284543,4430.809612615501,272.761567614026,14.795671780000996,1.4932063282372257,25.5
8000,16.00000000000201,596.0085436527719,3834.8700811749163,4430.878624827688,266.22156187347605,14.832338341136824,1.4895150194318658,25.5
8500,17.000000000001457,320.1085739380389,4111.289054048075,4431.397627986114,285.41091878311306,14.542441269076493,1.519207836128426,25.5
9000,18.000000000000902,576.3300774380406,3896.2949895600036,4472.6250669980445,270.48575719223976,14.649536339948957,1.5081017050465504,25.4
9500,19.000000000000348,575.7839395495424,4032.7920637887046,4608.576003338247,279.9615578121114,14.712947258214388,1.5016019798537426,25.4
10000,19.999999999999794,582.6929919948484,4146.300851893281,4728.993843888129,287.84148235086076,14.704205670830072,1.5024946758087099,25.4
10500,20.99999999999924,750.9245883153534,4016.494819222732,4767.419407538086,278.8301823519921,14.826446481903455,1.490106935561681,25.4
11000,21.999999999998685,588.62995377147,4149.778460750713,4738.408414522183,288.08290238387707,14.522483366122874,1.5212956472689476,25.4
11500,22.99999999999813,715.3589869889618,4110.37894171353,4825.737928702492,285.3477376265018,15.005877482958807,1.4722891585319142,25.5
12000,23.999999999997577,706.7794476192637,4173.290899823313,4880.070347442577,289.7151658297993,14.80258307987276,1.4925091528422842,25.5
12500,24.999999999997023,676.9448801051557,4221.321162759735,4898.266042864891,293.04948781345576,14.738210475407234,1.4990280379889858,25.5
13000,25.99999999999647,795.3794873272695,4121.653762622374,4917.0332499496435,286.13045004404387,14.846452834298814,1.4880989404673413,25.5
13500,26.999999999995914,688.2522060171624,4187.873470286252,4876.125676303414,290.7275064313313,14.564515671023102,1.5169052807141148,25.4
14000,27.99999999999536,679.354923542556,4129.866643974455,4809.221567517011,286.7005987204659,14.761220269362711,1.496691352697513,25.5
14500,28.999999999994806,696.7072017717111,4074.4662495533858,4771.173451325097,282.8546328287961,14.738324411426182,1.4990164496101326,25.4
15000,29.99999999999425,644.571686254578,4287.126660916171,4931.698347170749,297.61778924955064,14.874477571718288,1.485295239842582,25.4
15500,30.999999999993697,573.3441424104736,4387.26433666326,4960.608479073734,304.56947415033403,14.43021318608312,1.5310231697564582,25.4
16000,31.999999999993143,607.5502183921617,4322.278170515778,4929.828388907939,300.0580517851071,14.422420477729789,1.5318504107221846,25.4
16500,32.999999999994365,854.5523487396355,4160.870593013861,5015.422941753497,288.8529323231176,14.53618058878998,1.5198621534363785,25.4
17000,33.99999999999559,765.5948515183629,4245.266862558132,5010.8617140764945,294.7118287703962,14.932796605453396,1.4794945190876136,25.4
17500,34.99999999999681,729.4044381006739,4305.167783842276,5034.57222194295,298.87022696495484,14.6871742364441,1.5042369877793007,25.4
18000,35.99999999999803,640.3150106256554,4325.522426668995,4965.83743729465,300.28327217639674,14.578237226020025,1.5154775155521312,25.4
18500,36.999999999999254,671.6537693969814,4276.1511991492625,4947.804968546244,296.85585872465157,14.719657503457436,1.5009174450716054,25.4
19000,38.000000000000476,711.6602922700212,4215.271403604613,4926.931695874634,292.62950583306446,14.672068981693057,1.5057856366395739,25.4
19500,39.0000000000017,602.8682637512635,4341.428166951946,4944.29643070321,301.3874689109009,14.700862462838225,1.5028363667959268,25.4
20000,40.00000000000292,564.2181034862423,4415.469062800772,4979.687166287014,306.52748213641985,14.675018047415683,1.505483036616031,25.4
20500,41.00000000000414,631.5889636537354,4348.715902898944,4980.3048665526785,301.8933928158215,14.732708170365559,1.4995878881832378,25.4
21000,42.000000000005365,746.5917313537391,4264.343022903044,5010.934754256783,296.0361201007599,14.860229516381175,1.4867193476429292,25.4
21500,43.00000000000659,814.9888170724676,4187.330033150472,5002.3188502229405,290.6897803337048,14.702024629821482,1.5027175704497977,25.4
22000,44.00000000000781,828.6910379013726,4275.60945975439,5104.300497655762,296.81825048635966,14.819912520361177,1.490763909845265,25.4
22500,45.00000000000903,695.4800479453169,4347.167370918695,5042.647418864012,301.7858917548556,14.734753368591925,1.4993797439128542,25.4
23000,46.00000000001025,965.4235579199121,4124.027320550401,5089.450878470313,286.29522545635785,14.692243085014647,1.5037180234890182,25.4
23500,47.000000000011475,680.7270271322564,4436.719782284064,5117.44680941632,308.0027341298443,14.704482928915626,1.502466345754577,25.4
24000,48.0000000000127,688.8467759196925,4293.33395856689,4982.180734486583,298.04870775281364,14.743371583226327,1.4985032838454553,25.4
24500,49.00000000001392,683.7754433421718,4227.411600060389,4911.18704340256,293.472293722483,14.74633347678224,1.4982023000634919,25.4
25000,50.00000000001514,705.9270381484083,4271.792557427758,4977.719595576166,296.55327626887504,14.906173920821423,1.482136921907118,25.4
25500,51.000000000016364,728.1248878712806,4210.6949030629185,4938.819790934199,292.31179934071014,14.965225765677317,1.4762885023150538,25.4
26000,52.000000000017586,686.4229063552284,4205.044160962863,4891.467067318092,291.9195176321314,14.961605988131778,1.4766456722589527,25.4
26500,53.00000000001881,716.8082957480713,4179.860698723523,4896.668994471594,290.17124963117607,14.870113969330875,1.4857310964787827,25.4
27000,54.00000000002003,596.9636662799261,4298.385901802236,4895.349568082162,298.3994200820818,14.672939640852253,1.5056962867145816,25.4
27500,55.00000000002125,720.4475054090018,4137.330357295116,4857.777862704118,287.21873919864174,14.901341513742306,1.482617569166094,25.4
28000,56.000000000022474,737.8539408743364,4239.563374176543,4977.41731505088,294.3158853478204,14.77731934442124,1.4950607899503103,25.4
28500,57.0000000000237,674.5583938762144,4342.342766615146,5016.90116049136,301.45096158357876,14.563757155571505,1.5169842847844066,25.4
29000,58.00000000002492,716.7834193458787,4282.07506818127,4998.858487527148,297.2671012524693,14.594647992476258,1.5137734561195078,25.4
29500,59.00000000002614,762.8292118095793,4343.2728080820125,5106.102019891592,301.5155262459207,14.851619338579924,1.4875812683286092,25.4
