#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
7550	0.02	-0.014132100442500654	-1733.8711655248294
7600	0.02	-0.011748953772931742	-1441.4822661963656
7650	0.02	-0.00507739251085562	-622.9466388555119
7700	0.02	-0.005469393738973349	-671.0413738914725
7750	0.02	-0.006848611888784561	-840.2580158659624
7800	0.02	-0.0029753886104131352	-365.0512207167315
7850	0.02	-0.0036217733802318005	-444.3563402057261
7900	0.02	0.004036917184991854	495.2904441309284
7950	0.02	0.005874410396500805	720.7329754266678
8000	0.02	0.011761401929289891	1443.0095338138835
8050	0.02	0.009718879300107891	1192.4118886810993
8100	0.02	0.009356603225467735	1147.9641406387045
8150	0.02	0.009674133249063962	1186.9219837662683
8200	0.02	0.012657111863579502	1552.9044241069278
8250	0.02	0.014977570994119862	1837.6021725833612
8300	0.02	0.015526264512380261	1904.9215264113996
8350	0.02	0.017062108484052825	2093.3546321668373
8400	0.02	0.016544837775057945	2029.8905511729358
8450	0.02	0.02034032491653619	2495.559878991902
8500	0.02	0.01958311152764135	2402.6571667237613
8550	0.02	0.019906604504556145	2442.346606181432
8600	0.02	0.01740451119713238	2135.3641121886944
8650	0.02	0.020554677210562654	2521.8588190106743
8700	0.02	0.026281852126336783	3224.527434110095
8750	0.02	0.026124740271884026	3205.2513388611173
8800	0.02	0.02666751451878778	3271.8444557105854
8850	0.02	0.030859226807637415	3786.126752343232
8900	0.02	0.029545206266002124	3624.909222272691
8950	0.02	0.027205871613235812	3337.8956309493315
9000	0.02	0.028623309794776383	3511.801498791598
9050	0.02	0.026279672467951223	3224.2600112425043
9100	0.02	0.026393059894738474	3238.1715448209256
9150	0.02	0.025475754315150412	3125.6270790570416
9200	0.02	0.024218723307783713	2971.4016101176144
9250	0.02	0.02053267441313025	2519.159289936128
9300	0.02	0.019903674512715342	2441.987124702464
9350	0.02	0.018495560947030917	2269.2252964619793
9400	0.02	0.014709596623670423	1804.7243257330358
9450	0.02	0.014997948434128655	1840.102286122903
9500	0.02	0.01307093509008209	1603.6765059341587
9550	0.02	0.013628216912380926	1672.0495610710427
9600	0.02	0.011906257157630754	1460.7818603422459
9650	0.02	0.011728427256235248	1438.9638623983228
9700	0.02	0.00458976370124343	563.1193303881114
9750	0.02	0.0064022976095706435	785.4995981318414
9800	0.02	0.0031850251654153747	390.7715854592019
9850	0.02	0.003288411030308379	403.4560247462117
9900	0.02	-0.001539548937263114	-188.8876689700746
9950	0.02	-2.5037889189993107e-06	-0.30719052902834526
10000	0.02	-0.007307040353781829	-896.5027262788702
10050	0.02	-0.006713336292253497	-823.6610169146248
10100	0.02	-0.012024817867180052	-1475.3281053599692
10150	0.02	-0.01404566578153477	-1723.2664739603715
10200	0.02	-0.017543455393067165	-2152.411212577526
10250	0.02	-0.022247579780672957	-2729.5614860204296
10300	0.02	-0.02375355871395123	-2914.3304422646293
10350	0.02	-0.025203744165123037	-3092.2540813358983
10400	0.02	-0.02434827755014583	-2987.296654602831
10450	0.02	-0.026338787628983618	-3231.5128660871515
10500	0.02	-0.027775254198683104	-3407.7533319383538
10550	0.02	-0.022159454674220754	-2718.7493932492252
10600	0.02	-0.019135526728915	-2347.742868612423
10650	0.02	-0.020400986843552644	-2503.002506966911
10700	0.02	-0.015534325151492778	-1905.91048837001
10750	0.02	-0.01419713221783371	-1741.8499313531402
10800	0.02	-0.011249947369127038	-1380.2590376685532
10850	0.02	-0.00838094766984458	-1028.2607007811998
10900	0.02	-0.008624477959481557	-1058.1394968491643
10950	0.02	-0.009142220270792287	-1121.6614388567464
11000	0.02	-0.00044098501666703333	-54.10456909349271
11050	0.02	-0.004622986193242564	-567.1954067759456
11100	0.02	-0.0008518518862978658	-104.51393470908928
11150	0.02	-0.0003436611937892762	-42.163883355164536
11200	0.02	-0.0013857050697707782	-170.01252391127088
11250	0.02	-0.004212402807091063	-516.8208218238968
11300	0.02	-0.008321988971155981	-1021.0270423431666
11350	0.02	-0.004187555266595326	-513.7722704655861
11400	0.02	-0.0034342871693233035	-421.35360707696077
11450	0.02	-0.0003995694358226619	-49.02328045407997
11500	0.02	-0.0007677134944064152	-94.19097300868403
11550	0.02	0.003793220834733357	465.3912740411014
11600	0.02	0.005549083299237222	680.8185072551264
11650	0.02	0.005923682449805116	726.7781767637333
11700	0.02	0.009178681036304589	1126.1348198840012
11750	0.02	0.009075783886266198	1113.510341152609
11800	0.02	0.013486902228477976	1654.7116248823284
11850	0.02	0.013902414691938966	1705.6909596416929
11900	0.02	0.009886902096778232	1213.0266503354542
11950	0.02	0.011355984075424654	1393.2687093931993
12000	0.02	0.010073974100857695	1235.978564318095
12050	0.02	0.0079999234226714	981.5127344596076
12100	0.02	0.009504884990795472	1166.1568699021961
12150	0.02	0.010054592625604852	1233.600645959606
12200	0.02	0.011523662650476002	1413.841238405481
12250	0.02	0.009809715629676094	1203.5566221381841
12300	0.02	0.009452783792178177	1159.764559973508
12350	0.02	0.008383769967113713	1028.606969184499
12400	0.02	0.006632297958151392	813.7184021296889
12450	0.02	0.010195423221082288	1250.8791892105207
12500	0.02	0.006331926420852984	776.8657382539203
12550	0.02	0.00791492581280037	971.0843550765474
12600	0.02	0.008126052671578555	996.9875655860358
12650	0.02	0.00923206675759171	1132.6847282410145
12700	0.02	0.005784472205962162	709.6984348862218
12750	0.02	0.0069274157491334325	849.9264824712549
12800	0.02	0.007440965966344383	912.9340953377198
12850	0.02	0.01148174753684341	1408.6986619552963
12900	0.02	0.011296658003072642	1385.9899777826004
12950	0.02	0.015838872615857504	1943.2754978492565
13000	0.02	0.013311482805463131	1633.189369172644
13050	0.02	0.012545042728089538	1539.1546320387247
13100	0.02	0.009541991936853381	1170.7095309926171
13150	0.02	0.007781108488835664	954.6662719745959
13200	0.02	0.0024145124776918056	296.2371786772375
13250	0.02	0.004670691048099891	573.0483281183323
13300	0.02	-4.711457853874489e-05	-5.780500183717184
13350	0.02	0.0030766709495915374	377.47757787381835
13400	0.02	0.0004366899169919831	53.577602170923406
13450	0.02	-0.005424848875570348	-665.576152741867
13500	0.02	-0.00908814036822837	-1115.0263612140786
13550	0.02	-0.007149434949094191	-877.166077220182
13600	0.02	-0.006232807766069279	-764.704844111233
13650	0.02	-0.0006769735274998111	-83.05806231220453
13700	0.02	-0.0032897231142867793	-403.61700467882355
